City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Turayf,SA,71.85,clear sky,31.6725,38.6637,Turaif
584,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
591,Kirakira,SB,79.57,scattered clouds,-10.4544,161.9205,SanBiz Lodge
594,Sompeta,IN,78.15,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
595,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
602,Luwuk,ID,77.61,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
604,Grand-Lahou,CI,77.79,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
613,Katherine,AU,75.52,few clouds,-14.4667,132.2667,Pine Tree Motel
618,Worland,US,71.67,clear sky,44.0169,-107.9554,Town House Motor Inn
621,Biak,ID,76.37,overcast clouds,-0.9131,122.8766,Penginapan Kim
623,Ambah,IN,73.8,clear sky,26.7075,78.2261,Dau Ki Kothi
627,Kutum,SD,78.84,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
632,Puerto Del Rosario,ES,74.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
635,Vinh Long,VN,73.38,overcast clouds,10.25,105.9667,Phuong Thao Homestay
643,Velingara,SN,81.27,few clouds,13.15,-14.1167,Hotel Najla
650,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Hanoi Golden Hotel
651,Kaduqli,SD,79.23,scattered clouds,11.0167,29.7167,Nussyba
652,Naliya,IN,80.35,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
653,Namatanai,PG,78.84,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
657,Parana,AR,78.55,overcast clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
665,Voh,NC,73.44,broken clouds,-20.9667,164.7,Le gîte du Koniambo
666,Nouakchott,MR,84.13,overcast clouds,18.0858,-15.9785,HOTEL IMAN
667,Asilah,MA,75.16,overcast clouds,35.465,-6.0348,Hotel Zelis
672,Esna,EG,78.82,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
673,Ceres,US,79.12,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
675,Ugoofaaru,MV,80.33,light rain,5.6667,73.0,Ungoofaaru Inn
676,Acarau,BR,83.37,scattered clouds,-2.8856,-40.12,castelo pizzaria
679,Oussouye,SN,78.98,light rain,12.485,-16.5469,Auberge du Routard
684,La Rochelle,FR,71.67,clear sky,46.1667,-1.15,
