CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Carnarvon,AU,-24.8667,113.6333,66.6,80,0,13.27,clear sky
62,Mataram,ID,-8.5833,116.1167,77.81,89,99,5.3,heavy intensity rain
63,Bahia Honda,CU,22.9036,-83.1592,84.72,67,100,9.6,overcast clouds
64,Inhambane,MZ,-23.865,35.3833,73.38,83,20,4.61,few clouds
65,Baijiantan,CN,45.6333,85.1833,55.69,47,100,15.7,overcast clouds
66,Atuona,PF,-9.8,-139.0333,76.62,69,6,15.73,clear sky
67,Butaritari,KI,3.0707,172.7902,81.61,73,86,16.87,overcast clouds
68,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,71,100,17.29,light rain
69,Jacareacanga,BR,-6.2222,-57.7528,87.21,56,97,3.91,overcast clouds
70,Ulaangom,MN,49.9811,92.0667,35.29,65,89,2.62,overcast clouds
71,Lebu,CL,-37.6167,-73.65,57.15,73,42,7.07,scattered clouds
72,Qaanaaq,GL,77.484,-69.3632,7.3,86,96,4.29,overcast clouds
73,Yellowknife,CA,62.456,-114.3525,48.72,66,20,11.99,few clouds
74,Guantanamo,CU,20.1444,-75.2092,87.37,59,60,8.03,broken clouds
75,Banda Aceh,ID,5.5577,95.3222,78.98,82,100,14.65,light rain
76,Shingu,JP,33.7333,135.9833,57.15,74,80,5.66,broken clouds
77,Bathsheba,BB,13.2167,-59.5167,88.41,66,20,11.5,few clouds
78,Usinsk,RU,65.9939,57.5281,38.3,98,100,13.44,light rain
79,Zhezkazgan,KZ,47.8043,67.7144,40.98,45,75,4.47,broken clouds
80,Tasiilaq,GL,65.6145,-37.6368,37.56,82,100,2.71,overcast clouds
81,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,20,3.44,few clouds
82,Saldanha,ZA,-33.0117,17.9442,61.07,92,100,15.97,overcast clouds
83,Maniitsoq,GL,65.4167,-52.9,37.18,96,100,19.6,moderate rain
84,Moron,AR,-34.6534,-58.6198,73.94,66,84,12.01,broken clouds
85,Ribeira Grande,PT,38.5167,-28.7,61.2,67,40,14.97,light rain
86,Jalu,LY,29.0331,21.5482,69.19,43,1,7.74,clear sky
87,Bayir,TR,37.2687,28.2167,63.12,56,3,3.18,clear sky
88,Shenjiamen,CN,29.9576,122.298,61.7,59,1,17.25,clear sky
89,Milkovo,RU,54.7167,158.6167,33.03,62,99,17.67,overcast clouds
90,Talnakh,RU,69.4865,88.3972,33.21,99,100,11.23,snow
91,Hasaki,JP,35.7333,140.8333,56.21,70,100,21.83,overcast clouds
92,Bereda,ES,43.2686,-7.5406,65.41,75,100,2.37,overcast clouds
93,Vardo,NO,70.3705,31.1107,40.98,75,75,17.27,broken clouds
94,Kapaa,US,22.0752,-159.319,82.38,77,0,4.61,clear sky
95,Chokurdakh,RU,70.6333,147.9167,8.28,97,98,6.29,overcast clouds
96,Bluff,NZ,-46.6,168.3333,46.27,76,67,16.55,broken clouds
97,Gomel,BY,52.4345,30.9754,58.98,77,75,6.71,broken clouds
98,Narsaq,GL,60.9167,-46.05,35.82,78,100,8.95,overcast clouds
99,Rudbar,AF,30.15,62.6,73.89,23,6,7.29,clear sky
100,Alvand,IR,36.3187,49.1678,49.69,86,99,8.43,overcast clouds
101,Kesova Gora,RU,57.5836,37.2922,42.12,90,100,9.8,overcast clouds
102,San Cristobal,VE,7.7669,-72.225,80.78,62,85,1.03,light rain
103,Poya,NC,-21.35,165.15,72.27,83,57,5.95,broken clouds
104,Belaya Gora,RU,68.5333,146.4167,3.13,100,93,1.16,overcast clouds
105,Puerto Leguizamo,CO,-0.1934,-74.7819,86.61,68,50,3.53,scattered clouds
106,Koulamoutou,GA,-1.1303,12.4736,72.75,97,100,0.29,moderate rain
107,Palmer,US,42.1584,-72.3287,61.63,41,20,8.05,few clouds
108,Provideniya,RU,64.3833,-173.3,25.18,76,10,3.71,clear sky
109,Tessalit,ML,20.1986,1.0114,86.02,19,8,11.21,clear sky
110,Port Blair,IN,11.6667,92.75,79.48,84,100,1.86,overcast clouds
111,Weligama,LK,5.9667,80.4167,75.94,91,100,10.54,overcast clouds
112,Severo-Kurilsk,RU,50.6789,156.125,40.37,66,50,32.23,scattered clouds
113,Yuzhno-Kurilsk,RU,44.0306,145.8556,47.1,67,21,19.95,few clouds
114,Salta,AR,-24.7859,-65.4117,63.19,67,75,12.66,broken clouds
115,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,44,9.1,scattered clouds
116,Port Hedland,AU,-20.3167,118.5667,66.25,72,0,6.91,clear sky
117,Santa Cruz,BO,-17.8,-63.1667,80.06,61,40,16.11,scattered clouds
118,Manica,FR,49.0,-1.1667,62.56,86,100,8.88,overcast clouds
119,Airai,TL,-8.9266,125.4092,61.72,91,100,1.45,overcast clouds
120,Thompson,CA,55.7435,-97.8558,41.16,52,75,12.66,broken clouds
121,Guerrero Negro,MX,27.9769,-114.0611,80.71,47,0,2.98,clear sky
122,Haines Junction,CA,60.7522,-137.5108,37.35,87,100,1.14,overcast clouds
123,Codrington,AU,-38.2667,141.9667,49.42,88,0,5.41,clear sky
124,Tiarei,PF,-17.5333,-149.3333,80.62,80,21,17.85,light rain
